[2026-02-12 20:58:29,806] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 8560
[2026-02-12 20:58:39,099] INFO django.server "OPTIONS /api/login/ HTTP/1.1" 200 0
[2026-02-12 20:58:39,386] WARNING django.request Unauthorized: /api/login/
[2026-02-12 20:58:39,386] WARNING django.server "POST /api/login/ HTTP/1.1" 401 36
[2026-02-12 20:58:44,184] INFO api 用户登录: admin
[2026-02-12 20:58:44,185] INFO django.server "POST /api/login/ HTTP/1.1" 200 99
[2026-02-12 20:58:44,191] INFO django.server "OPTIONS /api/me/ HTTP/1.1" 200 0
[2026-02-12 20:58:44,200] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 20:58:45,979] INFO django.server "OPTIONS /api/logs/ HTTP/1.1" 200 0
[2026-02-12 20:58:45,981] INFO django.server "OPTIONS /api/enroll-logs/ HTTP/1.1" 200 0
[2026-02-12 20:58:45,982] INFO django.server "OPTIONS /api/users/ HTTP/1.1" 200 0
[2026-02-12 20:58:45,984] INFO django.server "OPTIONS /api/stats/ HTTP/1.1" 200 0
[2026-02-12 20:58:45,999] INFO django.server "GET /api/logs/ HTTP/1.1" 200 52
[2026-02-12 20:58:46,009] INFO django.server "GET /api/users/ HTTP/1.1" 200 178
[2026-02-12 20:58:46,009] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 52
[2026-02-12 20:58:46,012] INFO django.server "GET /api/stats/ HTTP/1.1" 200 91
[2026-02-12 20:58:46,035] WARNING django.request Unauthorized: /api/roc/
[2026-02-12 20:58:46,036] WARNING django.server "GET /api/roc/ HTTP/1.1" 401 43
[2026-02-12 20:58:47,977] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 20:58:47,984] INFO django.server "OPTIONS /api/my-logs/ HTTP/1.1" 200 0
[2026-02-12 20:58:47,991] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 52
[2026-02-12 20:58:49,347] INFO django.server "GET /api/logs/ HTTP/1.1" 200 52
[2026-02-12 20:58:49,347] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 52
[2026-02-12 20:58:49,353] INFO django.server "GET /api/stats/ HTTP/1.1" 200 91
[2026-02-12 20:58:49,353] INFO django.server "GET /api/users/ HTTP/1.1" 200 178
[2026-02-12 20:58:49,374] WARNING django.request Unauthorized: /api/roc/
[2026-02-12 20:58:49,374] WARNING django.server "GET /api/roc/ HTTP/1.1" 401 43
[2026-02-12 20:58:50,781] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 20:58:50,790] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 52
[2026-02-12 21:00:20,801] INFO django.server "GET /admin/auth/user/ HTTP/1.1" 200 11009
[2026-02-12 21:00:22,186] INFO django.server "GET /admin/auth/user/ HTTP/1.1" 200 11009
[2026-02-12 21:00:22,225] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 8560
[2026-02-12 21:02:50,652] INFO django.server "GET /admin/auth/user/ HTTP/1.1" 302 0
[2026-02-12 21:02:50,672] INFO django.server "GET /admin/login/?next=/admin/auth/user/ HTTP/1.1" 200 4215
[2026-02-12 21:02:55,221] INFO django.server "POST /admin/login/?next=/admin/auth/user/ HTTP/1.1" 200 4347
[2026-02-12 21:03:00,627] INFO django.server "POST /admin/login/?next=/admin/auth/user/ HTTP/1.1" 200 4347
[2026-02-12 21:03:16,621] INFO django.server "POST /admin/login/?next=/admin/auth/user/ HTTP/1.1" 200 4347
[2026-02-12 21:03:37,133] INFO api 用户登录: demo
[2026-02-12 21:03:37,134] INFO django.server "POST /api/login/ HTTP/1.1" 200 99
[2026-02-12 21:03:37,150] INFO django.server "GET /api/me/ HTTP/1.1" 200 119
[2026-02-12 21:03:44,810] INFO django.server "GET /api/me/ HTTP/1.1" 200 119
[2026-02-12 21:03:44,825] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 1169
[2026-02-12 21:04:01,008] INFO api 用户登录: admin
[2026-02-12 21:04:01,009] INFO django.server "POST /api/login/ HTTP/1.1" 200 99
[2026-02-12 21:04:01,018] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:04:03,378] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:04:03,386] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 52
[2026-02-12 21:04:05,965] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 193
[2026-02-12 21:04:05,976] INFO django.server "GET /api/logs/ HTTP/1.1" 200 1169
[2026-02-12 21:04:05,979] INFO django.server "GET /api/users/ HTTP/1.1" 200 304
[2026-02-12 21:04:05,988] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:04:06,011] WARNING django.request Unauthorized: /api/roc/
[2026-02-12 21:04:06,012] WARNING django.server "GET /api/roc/ HTTP/1.1" 401 43
[2026-02-12 21:04:14,589] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:04:14,601] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 52
[2026-02-12 21:04:16,614] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:04:16,623] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 52
[2026-02-12 21:04:19,922] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:04:19,931] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 52
[2026-02-12 21:04:21,303] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 193
[2026-02-12 21:04:21,303] INFO django.server "GET /api/logs/ HTTP/1.1" 200 1169
[2026-02-12 21:04:21,309] INFO django.server "GET /api/users/ HTTP/1.1" 200 304
[2026-02-12 21:04:21,312] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:04:21,333] WARNING django.request Unauthorized: /api/roc/
[2026-02-12 21:04:21,335] WARNING django.server "GET /api/roc/ HTTP/1.1" 401 43
[2026-02-12 21:04:39,856] INFO django.server "POST /admin/login/?next=/admin/auth/user/ HTTP/1.1" 200 4347
[2026-02-12 21:04:42,773] INFO django.server "GET /admin/ HTTP/1.1" 302 0
[2026-02-12 21:04:42,790] INFO django.server "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4195
[2026-02-12 21:04:58,834] INFO django.server "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4327
[2026-02-12 21:05:04,453] INFO django.server "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[2026-02-12 21:05:04,470] INFO django.server "GET /admin/ HTTP/1.1" 200 6224
[2026-02-12 21:05:06,193] INFO django.server "GET /admin/auth/user/ HTTP/1.1" 200 11391
[2026-02-12 21:05:06,245] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 8560
[2026-02-12 21:05:06,259] INFO django.server "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
[2026-02-12 21:05:07,926] INFO django.server "GET /admin/auth/user/2/change/ HTTP/1.1" 200 21608
[2026-02-12 21:05:07,980] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 8560
[2026-02-12 21:05:18,633] INFO django.server "GET /admin/authtoken/tokenproxy/ HTTP/1.1" 200 9090
[2026-02-12 21:05:23,783] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:05:23,795] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 52
[2026-02-12 21:05:28,561] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 193
[2026-02-12 21:05:28,570] INFO django.server "GET /api/logs/ HTTP/1.1" 200 1169
[2026-02-12 21:05:28,574] INFO django.server "GET /api/users/ HTTP/1.1" 200 304
[2026-02-12 21:05:28,575] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:05:28,595] WARNING django.request Unauthorized: /api/roc/
[2026-02-12 21:05:28,596] WARNING django.server "GET /api/roc/ HTTP/1.1" 401 43
[2026-02-12 21:06:07,287] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:06:07,399] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 52
[2026-02-12 21:10:08,474] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:12:06,537] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:12:07,515] INFO django.server "GET /api/logs/ HTTP/1.1" 200 1169
[2026-02-12 21:12:07,516] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 193
[2026-02-12 21:12:07,521] INFO django.server "GET /api/users/ HTTP/1.1" 200 304
[2026-02-12 21:12:07,523] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:12:07,530] INFO django.server "OPTIONS /api/roc/ HTTP/1.1" 200 0
[2026-02-12 21:12:07,549] INFO django.server "GET /api/roc/ HTTP/1.1" 200 17942
[2026-02-12 21:15:27,809] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:15:27,821] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 52
[2026-02-12 21:15:29,641] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 193
[2026-02-12 21:15:29,648] INFO django.server "GET /api/logs/ HTTP/1.1" 200 1169
[2026-02-12 21:15:29,648] INFO django.server "GET /api/users/ HTTP/1.1" 200 304
[2026-02-12 21:15:29,653] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:15:29,664] INFO django.server "GET /api/roc/ HTTP/1.1" 200 17942
