epoch,train_loss,train_acc,val_loss,val_acc,val_eer,time_sec
1,3.37272662586636,0.16845878136200718,3.390432357788086,0.03225806451612903,0.27313886273814236,3.6918447017669678
2,3.269536680645413,0.3727598566308244,3.353454113006592,0.03225806451612903,0.36339304799457883,3.4493603706359863
3,3.198346906238132,0.46953405017921146,3.3094141483306885,0.16129032258064516,0.34448264727418265,3.0056936740875244
4,3.146007855733236,0.5627240143369175,3.3051388263702393,0.16129032258064516,0.3452330600011825,3.601187229156494
5,3.0897755887773304,0.6021505376344086,3.3697335720062256,0.03225806451612903,0.36416847447914535,3.1840803623199463
6,3.040328953001234,0.6594982078853047,3.351142168045044,0.03225806451612903,0.3638182818732121,3.3993661403656006
7,2.9945046106974282,0.6559139784946236,3.2322521209716797,0.3548387096774194,0.273013793950309,3.288435697555542
8,2.9423871305253773,0.6702508960573477,3.286308765411377,0.0967741935483871,0.34110579000268326,3.3797292709350586
9,2.89615715874566,0.6989247311827957,3.2365593910217285,0.16129032258064516,0.3646187221153453,3.028308629989624
10,2.847119834687975,0.7025089605734767,3.280257225036621,0.06451612903225806,0.27183814734467593,3.31315016746521
11,2.8090276983049183,0.7455197132616488,3.21469783782959,0.16129032258064516,0.20121976177806883,3.349236488342285
12,2.7649701171451144,0.7455197132616488,3.2160325050354004,0.16129032258064516,0.18828764911610474,3.465348720550537
13,2.7314945326911078,0.7311827956989247,3.2478864192962646,0.06451612903225806,0.18163398960337274,3.775205612182617
14,2.669746928744846,0.7777777777777778,3.123582124710083,0.16129032258064516,0.27258856007167576,3.4435462951660156
15,2.635150008731418,0.7741935483870968,3.177170991897583,0.0967741935483871,0.273088835223009,3.4793388843536377
16,2.6022834248012967,0.7921146953405018,3.265998601913452,0.0967741935483871,0.2727886701322091,3.1459238529205322
17,2.551085869471232,0.7706093189964157,3.155254602432251,0.03225806451612903,0.1950913911742367,3.112379550933838
18,2.522773371802436,0.7921146953405018,3.0402462482452393,0.25806451612903225,0.19066395608493758,2.9916069507598877
19,2.4836616251203747,0.7921146953405018,3.182100772857666,0.0,0.18681183741967172,3.6175458431243896
20,2.4403353532155356,0.8028673835125448,3.240697145462036,0.06451612903225806,0.2939753227911715,3.194505453109741
21,2.421193387773302,0.7992831541218638,3.132504940032959,0.06451612903225806,0.25135187989758,3.602628707885742
22,2.3843952814737954,0.7992831541218638,3.152202844619751,0.06451612903225806,0.35281222854388095,3.564937114715576
23,2.353687365849813,0.7921146953405018,3.0428614616394043,0.0967741935483871,0.18403531032977227,3.349637269973755
24,2.3120283550686307,0.8100358422939068,2.939940929412842,0.22580645161290322,0.18148390705797277,3.4804022312164307
25,2.2587021456824408,0.8172043010752689,3.047353744506836,0.1935483870967742,0.181834099663906,3.417928695678711
26,2.2045308219061956,0.8602150537634409,3.1308929920196533,0.12903225806451613,0.2514769486854133,3.258376359939575
27,2.189231342739529,0.8315412186379928,3.1026792526245117,0.16129032258064516,0.27266360134437573,3.312354803085327
28,2.1552001900143094,0.8315412186379928,3.2354843616485596,0.06451612903225806,0.36326797920674553,3.467008352279663
29,2.12290276421441,0.8028673835125448,3.1170430183410645,0.03225806451612903,0.18618649348050514,3.1258695125579834
30,2.088180330064562,0.8422939068100358,3.1835737228393555,0.0967741935483871,0.26758580855834346,3.688950300216675
31,2.043846514489916,0.8458781362007168,3.045391798019409,0.12903225806451613,0.3462336103038489,3.6782894134521484
32,2.0098022090064154,0.8781362007168458,3.207275390625,0.16129032258064516,0.3642185019942787,3.395076274871826
33,1.9712586800257366,0.8637992831541219,3.245927095413208,0.03225806451612903,0.273163876495709,3.3451714515686035
34,1.9514144129223294,0.8494623655913979,2.6570959091186523,0.41935483870967744,0.1816089758458061,3.726168155670166
35,1.923942830827501,0.8530465949820788,3.1406667232513428,0.03225806451612903,0.3620172913284124,3.4594802856445312
36,1.9005289872487385,0.8924731182795699,2.7813518047332764,0.3870967741935484,0.27258856007167576,3.51432204246521
37,1.8668219645818074,0.8494623655913979,2.6740071773529053,0.3548387096774194,0.2855707002487732,3.1582765579223633
38,1.830784797668457,0.8924731182795699,2.8664164543151855,0.2903225806451613,0.1814588933004061,3.6451807022094727
39,1.795711464352078,0.8888888888888888,2.6836843490600586,0.25806451612903225,0.1821842922698393,3.453920364379883
40,1.7868051528930664,0.8745519713261649,2.90840744972229,0.16129032258064516,0.1815839620882394,3.4673101902008057
