epoch,train_loss,train_acc,val_loss,val_acc,val_eer,time_sec
1,3.32557831870185,0.2114695340501792,3.2938241958618164,0.2903225806451613,0.18140886578527277,38.88124918937683
2,3.1906207137637668,0.5949820788530465,3.2204110622406006,0.3870967741935484,0.1823343748152393,36.4764199256897
3,3.1223884688483343,0.6738351254480287,3.1457161903381348,0.6774193548387096,0.18213426475470595,36.19959282875061
4,3.057550695207384,0.7311827956989247,3.0733649730682373,0.7741935483870968,0.09213021707393614,38.6635468006134
5,2.9885861608717175,0.7777777777777778,3.0036306381225586,0.7741935483870968,0.10028470204066783,38.99539113044739
6,2.9229304790496826,0.8279569892473119,2.957075595855713,0.7419354838709677,0.18150892081553943,37.61454153060913
7,2.8686227003733316,0.8530465949820788,2.9547839164733887,0.6774193548387096,0.16319885027674308,36.235092639923096
8,2.804020219379001,0.910394265232975,2.8897478580474854,0.7419354838709677,0.09213021707393614,36.97351431846619
9,2.7398591306474476,0.9283154121863799,2.834409713745117,0.8064516129032258,0.10563764615993343,36.840906858444214
10,2.6744085947672525,0.9390681003584229,2.8025269508361816,0.8064516129032258,0.18143387954283946,34.74824118614197
11,2.619460185368856,0.946236559139785,2.7394590377807617,0.8709677419354839,0.09793340882940163,37.29522728919983
12,2.560897456275092,0.9283154121863799,2.6892807483673096,0.8064516129032258,0.10503731597833355,36.223737478256226
13,2.4878020021650524,0.956989247311828,2.6463398933410645,0.7741935483870968,0.1037616143424338,35.635963439941406
14,2.427179045147366,0.967741935483871,2.5726866722106934,0.8064516129032258,0.09007908895346989,36.022855281829834
15,2.356052769554986,0.974910394265233,2.578155994415283,0.8387096774193549,0.16532501966990934,36.243364334106445
